		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		AmmoBox_762x54Tracer_20Rnd,			*,		400,	200
		
	<Category> Magazines
		Mag_IJ70_8Rnd,			M,		30,		15
		Mag_CZ75_15Rnd,			M,		40,		20
		Mag_Glock_15Rnd,		M,		40,		20
		Mag_MKII_10Rnd,			M,		40,		20
		Mag_1911_7Rnd,			M,		40,		20
		Mag_FNX45_15Rnd,		M,		40,		20
		Mag_CZ527_5rnd,			M,		60,		30
		Mag_CZ61_20Rnd,			M,		100,	50
		Mag_UMP_25Rnd,			M,		150,	75
		Mag_MP5_30Rnd,			M,		200,	100
		Mag_FAL_20Rnd,			M,		100,	50
		Mag_Saiga_5Rnd,			M,		100,	50
		Mag_Saiga_8Rnd,			M,		220,	60
		Mag_Saiga_Drum20Rnd,	M,		480,	110
		Mag_AKM_30Rnd,			M,		220,	110
		Mag_AKM_Palm30Rnd,		M,		220,	110
		Mag_AKM_Drum75Rnd,		M,		480,	220
		Mag_AK101_30Rnd,		M,		220,	110
		Mag_AK74_30Rnd,			M,		220,	110
		Mag_STANAG_30Rnd,		M,		220,	110
		Mag_STANAGCoupled_30Rnd,M,		480,	220
		Mag_CMAG_10Rnd,			M,		120,	60
		Mag_CMAG_20Rnd,			M,		180,	80
		Mag_CMAG_30Rnd,			M,		220,	110
		Mag_CMAG_40Rnd,			M,		300,	150
		Mag_VSS_10Rnd,			M,		220,	110
		Mag_SVD_10Rnd,			M,		250,	125
		Mag_308WinSnaploader_2Rnd,		M,		250,	125
		
	<Category> Handguards
		MP5_PlasticHndgrd,		*,		100,	50
		MP5_RailHndgrd,			*,		150,	75
		AK74_Hndgrd,			*,		150,	75
		AK_WoodHndgrd,			*,		200,	100
		AK_RailHndgrd,			*,		200,	100
		AK_PlasticHndgrd,		*,		200,	100
		M4_PlasticHndgrd,		*,		150,	75
		M4_RISHndgrd,			*,		200,	100
		M4_MPHndgrd,			*,		200,	100

	<Category> Buttstocks
		MP5k_StockBttstck,		*,		100,	50
		Fal_OeBttstck,			*,		100,	50
		Fal_FoldingBttstck,		*,		150,	75
		Saiga_Bttstck,			*,		150,	75
		AKS74U_Bttstck,			*,		150,	75
		AK74_WoodBttstck,		*,		150,	75
		AK_PlasticBttstck,		*,		100,	50
		AK_WoodBttstck,			*,		150,	75
		AK_FoldingBttstck,		*,		250,	125
		M4_OEBttstck,			*,		150,	75
		M4_CQBBttstck,			*,		150,	75
		M4_MPBttstck,			*,		150,	75
	
	<Category> Optics
		AD_B13Mount,				*,      900,    350
		AD_MosinMount,          	*,      900,    350
		AD_ACOG,           			*,      900,    350
		AD_ACOG_MosinMount,			*,      900,    350
		AD_ACOG_B13,           		*,      900,    350
		AD_ACOG_RMR,           		*,      900,    350
		AD_ACOG_RMR_MosinMount,		*,      900,    350
		AD_ACOG_RMR_B13,			*,      900,    350
		AD_DHF5,					*,      900,    350
		AD_DHF5_MosinMount,			*,      900,    350
		AD_DHF5_B13,           		*,      900,    350
		AD_MRS,						*,      900,    350
		AD_MRS_MosinMount,			*,      900,    350
		AD_MRS_B13,					*,      900,    350
		AD_NFATACR,					*,      900,    350
		AD_NFATACR_MosinMount,		*,      900,    350
		AD_NFATACR_B13,				*,      900,    350
		AD_NFATACR_1_8,				*,      900,    350
		AD_NFATACR_1_8_MosinMount,	*,      900,    350
		AD_NFATACR_1_8_B13,			*,      900,    350
		AD_OKP7,					*,      900,    350
		AD_OKP7_MosinMount,			*,      900,    350
		AD_OKP7_B13,				*,      900,    350
		AD_Pilad,					*,      900,    350
		AD_Pilad_MosinMount,		*,      900,    350
		AD_Pilad_B13,           	*,      900,    350
		AD_PVS4,					*,      900,    350
		AD_PVS4_MosinMount,			*,      900,    350
		AD_PVS4_B13,				*,      900,    350
		AD_RMR,						*,      900,    350
		AD_RMR_LM,					*,      900,    350
		AD_RMR_LM_MosinMount,		*,      900,    350
		AD_RMR_LM_B13,				*,      900,    350
		AD_RMR_TM,					*,      900,    350
		AD_RMR_TM_MosinMount,		*,      900,    350
		AD_RMR_TM_B13,				*,      900,    350
		AD_SpecterDR,				*,      900,    350
		AD_SpecterDR_MosinMount,	*,      900,    350
		AD_SpecterDR_B13,			*,      900,    350
		AD_XPS34_HHS,				*,      900,    350
		AD_XPS34_HHS_MosinMount,	*,      900,    350
		AD_XPS34_HHS_B13,			*,      900,    350
		AD_XPS34,					*,      900,    350
		AD_XPS34_MosinMount,		*,      900,    350
		AD_XPS34_B13,				*,      900,    350
		AD_LeupoldMk4,				*,      900,    350
		AD_LeupoldMk4_MosinMount,	*,      900,    350
		AD_LeupoldMk4_B13,			*,      900,    350
	
	<Category> Supressors
		PistolSuppressor,		*,		150,	75
		AK_Suppressor,			*,		250,	125
		M4_Suppressor,			*,		250,	125
		
	<Category> Compensators
		Mosin_Compensator,		*,		150,	75
		MP5_Compensator,		*,		200,	100

	<Category> Bayonets
		Mosin_Bayonet,			*,		100,	60
		M9A1_Bayonet,			*,		150,	75
		AK_Bayonet,				*,		150,	75
		SKS_Bayonet,			*,		100,	60
		
	<Category> Flashlights
		Universallight,			*,		120,	60


	<Category> Pirulin Weapon Pack:Mags
		mag_paz_16rnd,		M, 		300, 	150
		mag_pdet_7rnd, 		M, 		300, 	150
		mag_pg21_16rnd, 	M, 		300, 	150
		mag_pm9se_20rnd, 	M, 		300, 	150
		mag_pp90_50rnd, 	M, 		300, 	150
		mag_paa12_20rnd, 	M, 		300, 	150		
		mag_pacr_30rnd, 	M, 		300, 	150
		mag_pt5000_7rnd, 	M, 		300, 	100
		mag_pm4a4_75rnd, 	M, 		800, 	150
		mag_pg56_30rnd, 	M, 		300,	150
		mag_pcx8_30rnd, 	M, 		300, 	150
		mag_pkriss_30rnd, 	M, 		300, 	150
		mag_pak337_30rnd, 	M, 		300, 	150
		mag_pg36_100rnd, 	M, 		900, 	150
		mag_psig550_30rnd, 	M, 		300, 	100

	<Category> Pirulin Weapon Pack:Buttstocks
		PirulinG21_Buttstock, 		*, 		150, 	75
		PirulinKriss_Buttstock,		*, 		250, 	125
		PirulinAK337_Buttstock,		*, 		250, 	125
		PirulinG36_Buttstock,		*, 		250, 	125
		PirulinG56_Buttstock,		*, 		250, 	125
		PirulinM4A4_Buttstock,		*, 		250, 	125

	<Category> Pirulin Weapon Pack:Suppressors
		PirulinPistol_Suppressor, 	*, 		150,	75
		PirulinPistol_Suppressor2, 	*, 		150, 	75
		Pirulin_Suppressor1, 		*, 		800, 	200
		Pirulin_Suppressor2, 		*, 		800, 	200
		Pirulin_Suppressor3, 		*, 		800, 	200

	<Category> Pirulin Weapon Pack:Optics
		PirulinEotech, 		*, 		2200, 	600
		PirulinHamr, 		*, 		2200, 	600
		PirulinOKP, 		*, 		2200, 	600
		PirulinSpectre, 	*, 		2200, 	600
		PirulinScope, 		*, 		2200, 	600

	<Category> SNAFU Magazines
		SNAFUAPS_20rdMag,                   *,		200,			50
		SN_Springfield_Mag,                 *,		275,			75
		SN_Mp443_Mag,                       *,		275,			75
		SN_M9_Mag,                          *,		275,			75
		GCGN_Vityaz_30Rnd,                  *,		300,			100
		Tec9_Mag,                           *,		300,			100
		SNAFUVECTOR_9mm_Mag,                *,		400,			150
		SNAFU_MP9_30rnd_Mag,                *,		300,			100
		SNAFU_Fort12_12rnd_Mag,             *,		275,			75
		SNAFU_MPX_30rnd_Mag,                *,		300,			100
		SNAFU_Agram_32rnd_Mag,              *,		400,			150
		SNAFUKH9_30rdMag,                   *,		300,			100
		SNAFUSten_32rdMag,                  *,		400,			150
		SNAFU_PDW_9mm_Mag,                  *,		400,			150
		SNAFU_PDW_45ACP_Mag,                *,		400,			150
		SNAFUUzi_32rdMag,                   *,		400,			150
		SNAFUUzi_72rdMag,                   *,		1000,			300
		SN_USP_Mag,                         *,		275,			75
		SNAFUVECTOR_45acp_Mag,              *,		400,			150
		SNAFUThompsonMk2_30rdMag,           *,		300,			100
		GCGN_MP7_40Rnd,                     *,		800,			250
		SNAFUP90_50rdMag,                   *,		1000,			300
		SN_Auto_Shotgun_Mag,                *,		2500,			800
		VR80_Magazine_5rd,                  *,		1000,			300
		VR80_Magazine_10rd,                 *,		1500,			500
		AA12_Mag,                           *,		4000,			1300
		SNAFU_SR3Vikhr_Mag,                 *,		2000,			750
		SNAFU_M1918A2_Mag,                  *,		1000,			500
		SNAFU_AK12_Mag,                     *,		2000,			600
		SNAFU_RPK16_Black_Mag,              *,		6000,			2000
		SNAFU_RPK16_Green_Mag,              *,		6000,			2000
		SNAFU_RPK16_Tan_Mag,                *,		6000,			2000
		SNAFU_U100_Mag,                     *,		9000,			3000
		SNAFU_PMAG556_Black,                *,		2000,			600
		SNAFU_PMAG556_Grey,                 *,		2000,			600
		SNAFU_PMAG556_OD,                   *,		2000,			600
		SNAFU_PMAG556_Tan,                  *,		2000,			600
		SNAFU_BMAG556_Black,                *,		10000,			3000
		SNAFU_BMAG556_Tan,                  *,		10000,			3000
		SNAFU_CMAG30556_Black,              *,		2000,			600
		SNAFU_CMAG30556_Tan,                *,		2000,			600
		SNAFU_CMAG40556_Black,              *,		2500,			750
		SNAFU_CMAG40556_Tan,                *,		2500,			750
		SNAFU_CMAG60556_Black,              *,		4000,			1250
		SNAFU_CMAG60556_Tan,                *,		4000,			1250
		GCGN_HK416_Mag,                     *,		4000,			1250
		SNAFU_CMAG30300_Black,              *,		2000,			600
		SNAFU_CMAG30300_Tan,                *,		2000,			600
		SNAFU_CMAG40300_Black,              *,		2500,			750
		SNAFU_CMAG40300_Tan,                *,		2500,			750
		SNAFU_CMAG60300_Black,              *,		4000,			1250
		SNAFU_CMAG60300_Tan,                *,		4000,			1250
		SNAFU_BMAG300_Tan,                  *,		10000,			3000
		SNAFU_BMAG300_Black,                *,		10000,			3000
		SG550_Mag,                          *,		2000,			625
		SNAFUAUG_30rdMag,                   *,		2000,			625
		SNAFUMk12_20rdMag,                  *,		1500,			500
		GCGN_M249_Mag,                      *,		12000,			3500
		SNAFU_KAC_Mag,                      *,		2000,			625
		SNAFUHoneyBadger_30rdMag_Black,     *,		2000,			625
		SNAFUHoneyBadger_30rdMag_Tan,       *,		2000,			625
		SNAFUAR15_SPR_30RND_Mag,            *,		2000,			625
		SNAFUAR15_SPR_40RND_Mag,            *,		2500,			750
		SNAFUAR15_SPR_60RND_Mag,            *,		4000,			1250
		SNAFUAR15_SPR_100RND_Mag,           *,		10000,			3000
		SNAFUPPSh_71rdMag,                  *,		4000,			1300
		SNAFU_SKS_10Rnd_Mag,                *,		1000,			325
		SNAFU_SKS_30Rnd_Mag,                *,		3000,			1000
		GCGN_VEPR_10rnd,                    *,		1000,			325
		SNAFUPPSKN_30rdMag,                 *,		3000,			1000
		SNAFU_AK103_Mag,                    *,		3000,			1000
		SNAFURPD_100rdMag,                  *,		12000,			3250
		SNAFU_M14_Mag,                      *,		4000,			1250
		SNAFU_M76_Mag,                      *,		2000,			700
		SNAFU_FRF2_Mag,                     *,		2000,			700
		GCGN_M110_Mag,						*,		4000,			1250
		SNAFU_SR25_Mag,                     *,		4000,			1250
		SNAFU_Saint_Mag,                    *,		4000,			1250
		SNAFURSASS_Mag,                     *,		4000,			1250
		GCGN_M700_Mag,                      *,		2000,			700
		SNHK417_Mag,                        *,		4000,			1250
		Modified_SA58_30RND_BK,             *,		6000,			2000
		Modified_SA58_30RND_WBK,            *,		6000,			2000
		Modified_SA58_30RND_DT,             *,		6000,			2000
		SA58_DrumMag,                       *,		10000,			3250
		SA58_30RND_BK,                      *,		6000,			2000
		SA58_30RND_WBK,                     *,		6000,			2000
		SA58_30RND_DT,                      *,		6000,			2000
		GCGN_Mag_FAL_50Rnd,                 *,		10000,			3250
		SNAFUM1A_20rdMag,                   *,		4000,			1250
		SNAFU_AK308_Mag,                    *,		4000,			1250
		Snafu_ScarH_25RND_Mag_BK,           *,		4250,			1400
		Snafu_ScarH_25RND_Mag_DKMC,         *,		4250,			1400
		Snafu_ScarH_25RND_Mag_OD,           *,		4250,			1400
		Snafu_ScarH_25RND_Mag_Snow,         *,		4250,			1400
		Snafu_ScarH_25RND_Mag_Tan,          *,		4250,			1400
		SNAFU_ScarH_100RND_Mag_Black,       *,		20000,			6500
		SNAFU_ScarH_100RND_Mag_Tan,         *,		20000,			6500
		Snafu_pkp_250RND_Mag,               *,		35000,			12000
		SNAFUM24_Mag,                       *,		8000,			2250
		SNAFU_AWM_Mag,                      *,		8000,			2250
		SNAFUM98B_Mag,                      *,		15000,			5000
		SNAFUT5000_Mag,                     *,		8000,			2250
		SNAFUSRSA2_10rdMag,                 *,		15000,			5000
		SNAFUTac21_5rdMag,                  *,		8000,			2250
		SNAFUDVL10M2_5rdMag,                *,		8000,			2250
		SNAFU_Mar10_15rnd_Mag,              *,		20000,			6500
		SNAFUGevar_10rdMag,                 *,		15000,			5000
		SNAFUKivaari_10rdMag,               *,		15000,			5000
		SNAFUKivaari_25rdMag,               *,		24000,			8000
		SNAFU_M300Mag,	                    *,		35000,			12000
		GCGN_M200_Mag,                      *,		35000,			12000
		SNAFUM96_5rdMag,                    *,		35000,			12000
		SNAFUGM6Lynx_5rdMag,                *,		35000,			12000
		GCGN_M82_Mag,                       *,		40000,			13250
		SNAFUAX50_Mag,                      *,		35000,			12000
		SNAFU_AS50_Mag,                     *,		40000,			13250
		SNAFUASh12_20rdMag,                 *,		45000,			15000
		SNAFUAlligator_5rdMag,              *,		45000,			15000		

		
	<Category> SNAFU Scopes
		GCGN_M84_Optic,						*,		1500,			600
		SNAFU_HuntingOptic,                 *,		1500,			600
		SNAFU_AKHuntingOptic,               *,		1500,			600
		SNAFU_HHuntingOptic,                *,		1500,			600
		SNAFU_MHuntingOptic,                *,		1500,			600
		SNAFU_M14Optic,                     *,		1500,			600
		SNAFU_Nightforce,                   *,		1500,			600
		SNAFU_AKNightforce,                 *,		1500,			600
		SNAFU_HNightforce,                  *,		1500,			600
		SNAFU_MNightforce,                  *,		1500,			600
		SNAFU_Leupold_Mark8,                *,		1500,			600
		SNAFU_AKLeupold_Mark8,              *,		1500,			600
		SNAFU_HLeupold_Mark8,               *,		1500,			600
		SNAFU_MLeupold_Mark8,               *,		1500,			600
		SNAFU_Kahles,                       *,		1500,			600
		SNAFU_AKKahles,                     *,		1500,			600
		SNAFU_HKahles,                      *,		1500,			600
		SNAFU_MKahles,                      *,		1500,			600
		SNAFU_Aimpoint_ACO,                 *,		1500,			600
		SNAFU_AKAimpoint_ACO,               *,		1500,			600
		SNAFU_HAimpoint_ACO,                *,		1500,			600
		SNAFU_MAimpoint_ACO,                *,		1500,			600
		SNAFU_Aimpoint_M5,                  *,		1500,			600
		SNAFU_AKAimpoint_M5,                *,		1500,			600
		SNAFU_HAimpoint_M5,                 *,		1500,			600
		SNAFU_MAimpoint_M5,                 *,		1500,			600
		SNAFU_Elcan,                        *,		1500,			600
		SNAFU_AKElcan,                      *,		1500,			600
		SNAFU_HElcan,                       *,		1500,			600
		SNAFU_MElcan,                       *,		1500,			600
		SNAFU_EOTech_EXPS3,                 *,		1500,			600
		SNAFU_AKEOTech_EXPS3,               *,		1500,			600
		SNAFU_HEOTech_EXPS3,                *,		1500,			600
		SNAFU_MEOTech_EXPS3,                *,		1500,			600
		SNAFU_Trijicon,                     *,		1500,			600
		SNAFU_AKTrijicon,                   *,		1500,			600
		SNAFU_Trijicon_Docter,              *,		1500,			600
		SNAFU_AKTrijicon_Docter,            *,		1500,			600
		SNAFU_HTrijicon,                    *,		1500,			600
		SNAFU_HTrijicon_Docter,             *,		1500,			600
		SNAFU_MTrijicon,                    *,		1500,			600
		SNAFU_MTrijicon_Docter,             *,		1500,			600
		SNAFU_Walther,                      *,		1500,			600
		SNAFU_AKWalther,                    *,		1500,			600
		SNAFU_HWalther,                     *,		1500,			600
		SNAFU_MWalther,                     *,		1500,			600
		SNAFU_Docter,                       *,		1500,			600
		SNAFU_Tango6T_Black,                *,		1500,			600
		SNAFU_Tango6T_Tan,                  *,		1500,			600
		SNAFU_Tango6T_Wood,                 *,		1500,			600
		SNAFU_Tango6T_Snow,                 *,		1500,			600
		SNAFU_AKTango6T_Black,              *,		1500,			600
		SNAFU_AKTango6T_Tan,                *,		1500,			600
		SNAFU_AKTango6T_Wood,               *,		1500,			600
		SNAFU_AKTango6T_Snow,               *,		1500,			600
		SNAFU_MTango6T_Black,               *,		1500,			600
		SNAFU_MTango6T_Tan,                 *,		1500,			600
		SNAFU_MTango6T_Wood,                *,		1500,			600
		SNAFU_MTango6T_Snow,                *,		1500,			600
		SNAFU_Kobra,                        *,		1500,			600
		SNAFU_IRONMODOptic,                 *,		1500,			600
		
	<Category> SNAFU HandGuards
		SNAFU_GADAR,						*,		500,			100
		SNAFU_HG625,                        *,		500,			100
		SNAFU_HGGS,                         *,		500,			100
		SNAFU_MCMR07,                       *,		500,			100
		SNAFU_MCMR08,                       *,		500,			100
		SNAFU_MCMR09,                       *,		500,			100
		SNAFU_MCMR10,                       *,		500,			100
		SNAFU_MCMR13,                       *,		500,			100
		SNAFU_MCMR15,                       *,		500,			100
		SNAFU_HGMlok,                       *,		500,			100
		SNAFU_HGMlok_Tan,                   *,		500,			100
		SNAFU_MK7,                          *,		500,			100
		SNAFU_MK9,                          *,		500,			100
		SNAFU_MK10,                         *,		500,			100
		SNAFU_MK13,                         *,		500,			100
		SNAFU_MK15,                         *,		500,			100
		SNAFU_LVOAHG,                       *,		500,			100
		SNAFU_MK47HG,                       *,		500,			100
		SNAFU_SR3HG,                        *,		500,			100
		SNAFU_AK_HG,                        *,		500,			100
		SNAFU_M249HG,                       *,		500,			100
		
		
	<Category> SNAFU Stocks
		SA58_Stock,							*,		250,			100
		SNAFU_AK_AR_Stock,                  *,		250,			100
		SNAFU_M4SS_Stock,                   *,		250,			100
		SNAFU_MOE_Stock,                    *,		250,			100
		SNAFU_PRSGen3_Stock,                *,		250,			100
		SNAFU_SCQR_Stock,                   *,		250,			100
		SNAFU_SADAR_Stock,                  *,		250,			100
		SNAFU_SBA_Stock,                    *,		250,			100
		SNAFU_UBR_Stock,                    *,		250,			100
		SNAFU_AK19_Stock,                   *,		250,			100
		SNAFU_MK47_Stock,                   *,		250,			100
		SNAFU_M249Stock,                    *,		250,			100
		SNAFU_M200S_BK,                     *,		250,			100
		SNAFU_M200S_Tan,                    *,		250,			100
		SNAFU_M200S_Green,                  *,		250,			100
		SNAFU_M200S_Snow,                   *,		250,			100
		SNAFU_M200B_BK,                     *,		250,			100
		SNAFU_WSR3Stock,                    *,		250,			100
		SNAFUDSASA58_Stock,                 *,		250,			100
		
				
	<Category> SNAFU Suppressors
		GCGN_M1Garand_Supp,								*,		20000,			500
		SR3_Vikhr_Supp,                                 *,		20000,			500
		SNAFU_SR25_Supp,                                *,		20000,			500
		SNAFU_Normalized_Suppressor_Green,              *,		20000,			500
		SNAFU_Normalized_Suppressor_Black,              *,		20000,			500
		SNAFU_Standardized_Suppressor_Black,            *,		20000,			500
		SNAFU_Standardized_Suppressor_Green,            *,		20000,			500
		SNAFU_LNormalized_Suppressor_Black,             *,		20000,			500
		SNAFU_LNormalized_Suppressor_Green,             *,		20000,			500
		SNAFU_LStandardized_Suppressor_Black,           *,		20000,			500
		SNAFU_LStandardized_Suppressor_Green,           *,		20000,			500
		SNAFUAR15_SPR_SIL,                              *,		20000,			500
		SNAFUAR15_SPR_SQSIL,                            *,		20000,			500
		SNAFUKivaari_338_Supp,                          *,		30000,			500
		SNAFU_408_Suppressor_T,                         *,		40000,			500
		Snafu_ScarH_SIL_Tan,                            *,		20000,			500
		Snafu_ScarH_SIL_Black,                          *,		20000,			500
		SNAFUGevar_Suppressor_Tan,                      *,		30000,			500
		SNAFUGevar_Suppressor_Green,                    *,		30000,			500
		SNAFU_Agram_Suppressor_Black,                   *,		10000,			500
		SNAFU_MPX_Suppressor_Black,                     *,		10000,			500
		SNAFU_SPMOD,                                    *,		20000,			500
		SNAFU_HeramuzzelF,                              *,		2000,			500
		SNAFU_MuzzelFF,                                 *,		2000,			500
		SNAFU_SR3Vikhr_Supp,                            *,		2000,			500
		SNAFU_AK308Muzzel,                              *,		2000,			500
		SNAFU_AK19Muzzel,                               *,		2000,			500
		SNAFU_MK47Muzzel,                               *,		2000,			500
		
		

		
	<Category> SNAFU Bipods
		SNAFU_Bipod,						*,		750,			250
		SNAFU_PKPBIPOD,                     *,		2000,			250
		SNAFU_NPKPBIPOD,                    *,		750,			250
		SNAFU_AtlasBipod,                   *,		750,			250
		SNAFU_ModBipod,                     *,		750,			250
		SNAFU_VSSKbipod,                    *,		2500,			250
		SNAFU_M249Bipod,                    *,		1000,			250
		SNAFU_M200B_BK,                     *,		2500,			250
		
		
		
	<Category> SNAFU Attachments
		SNAFU_SKS_Bayonet,						*,		500,			250
		GCGN_M1Garand_FlashHider,               *,		500,			250
		GCGN_M1Garand_Bayonet,                  *,		500,			250
		SNAFU_AK_Mount_Base,                    *,		500,			250
		SNAFU_Hunting_Mount_Base,               *,		500,			250
		SNAFU_Mosin_Mount_Base,                 *,		500,			250
		SNAFU_TACGripColtA2_Tan,                *,		500,			250
		SNAFU_TACGripColtA2_OD,                 *,		500,			250
		SNAFU_TACGripColtA2_Grey,               *,		500,			250
		SNAFU_TACGripColtA2_BK,                 *,		500,			250
		SNAFU_GIGripColtA2,                     *,		500,			250
		SNAFUUniversalLight,                    *,		500,			250
		SNAFU_PistolGripColtA2,                 *,		500,			250
		SNAFU_PEQ1_Laser,                       *,		500,			250


	<Category> SNAFU Ammo
		GCGN_Ammo_3006,							*,		2000,			2000
		GCGN_Ammo_408Chey,						*,		2000,			2000
		SNAFU_Ammo_338,							*,		1000,			900
		GCGN_Ammo_762x51,                       *,		1050,			1050
		SNAFU_Ammo_300ACC,                      *,		700,			700
		SNAFU_Ammo_46x30,                       *,		600,			600
		SNAFU_Ammo_5_7x28mm,                    *,		600,			600
		SNAFU_Ammo_127x55mm,                    *,		900,			700
		SNAFU_Ammo_45_70mm,                     *,		550,			550
		SNAFU_Ammo_500_SW,                      *,		800,			800
		SNAFU_Ammo_145Cal,                      *,		500,			500
		SNAFU_MD_Ammo_556x45mm_M855A1,          *,		800,			800
		SNAFU_Ammo_762x25,                      *,		600,			600
		SNAFU_Ammo_44,                          *,		600,			600
		GCGN_Ammo_50Cal,                        *,		600,			600
		SNAFU_Ammo_127x55mmAP,                  *,		600,			600
		
		
	<Category> SNAFU Grips
		SA58_FGrip,							*,		300,			200
		SNAFUAR15_AFG,                      *,		300,			200
		SNAFUScar_AFG_Tan,                  *,		300,			200
		SNAFUScar_AFG_BK,                   *,		300,			200
		SNAFUMPX_Grip,                      *,		300,			200
		SNAFU_AFG_02_Black,                 *,		300,			200
		SNAFU_AFG_02_Tan,                   *,		300,			200
		SNAFU_AFG_02_OD,                    *,		300,			200
		SNAFU_FGKAC_Grip,                   *,		300,			200
		SNAFU_FGCR_Grip,                    *,		300,			200
		SNAFU_SR3Grip,                      *,		300,			200
		SNAFU_M249Grip,                     *,		300,			200

	<Category> SWP Guns:Mags
	    Mag_STANAG_30Rnd,               *,        1000,    100
        Mag_STANAG_30Rnd,               *,        1000,    100
        SWP_EBR_MAG,                    *,        1000,    100
        Mag_Glock_15Rnd,                *,         750,    50
        Mag_STANAG_30Rnd,               *,        1000,    100
        SWP_M700_Mag,                   *,        1000,    100
        SWP_MP7_Mag,                    *,        1000,    100
        SWP_MPX_Mag,                    *,        1000,    100
        SWP_P226_Mag,                   *,        1000,    100
        SWP_PP19_Mag,                   *,        1000,    100
        SWP_RO991Mag,                   *,        1000,    100
        SWP_762P_Mag,                   *,        1000,    100
        SWP_762P_Mag,                   *,        1000,    100


	
	
<Trader> Clothing Trader
	<Category> Glasses
		SportGlasses_Orange,	*,		17,		8
		SportGlasses_Blue,		*,		18,		9
		SportGlasses_Black,		*,		20,		10
		SportGlasses_Green,		*,		20,		10
		ThinFramesGlasses,		*,		20,		10
		ThickFramesGlasses,		*,		23,		11
		DesignerGlasses,		*,		30,		15
		AviatorGlasses,			*,		40,		20
		TacticalGoggles,		*,		60,		30
		NVGHeadstrap,			*,		200,	120
		
	<Category> Armbands
		Armband_Pink,			*,		15,		5
		Armband_Yellow,			*,		15,		5
		Armband_Orange,			*,		15,		5
		Armband_Red,			*,		15,		5
		Armband_Blue,			*,		15,		5
		Armband_White,			*,		15,		5
		Armband_Black,			*,		15,		5
		Armband_Green,			*,		15,		5
		
	<Category> Gloves
		SurgicalGloves_LightBlue,*,		5,		1
		SurgicalGloves_Blue,	*,		5,		1
		SurgicalGloves_White,	*,		5,		1
		SurgicalGloves_Green,	*,		5,		1
		WorkingGloves_Yellow,	*,		25,		6
		WorkingGloves_Beige,	*,		30,		8
		WorkingGloves_Brown,	*,		30,		8
		WorkingGloves_Black,	*,		30,		8
		TacticalGloves_Beige,	*,		35,		10
		TacticalGloves_Black,	*,		35,		10
		TacticalGloves_Green,	*,		35,		10
		OMNOGloves_Gray,		*,		40,		12
		OMNOGloves_Brown,		*,		40,		12
		NBCGlovesGray,			*,		65,		20

	<Category> Hats & Caps
		MedicalScrubsHat_Blue,	*,		2,		1
		MedicalScrubsHat_White,	*,		2,		1
		MedicalScrubsHat_Green,	*,		2,		1
		Bandana_Polkapattern,	*,		6,		2
		Bandana_Redpattern,		*,		6,		2
		Bandana_Blackpattern,	*,		6,		2
		Bandana_Greenpattern,	*,		8,		2
		Bandana_Camopattern,	*,		10,		3
		BaseballCap_CMMG_Pink,	*,		12,		3
		BaseballCap_Pink,		*,		12,		3
		BaseballCap_Red,		*,		12,		3
		BaseballCap_Blue,		*,		12,		3
		BaseballCap_Beige,		*,		12,		3
		BaseballCap_CMMG_Black,	*,		12,		3
		BaseballCap_Black,		*,		13,		3
		BaseballCap_Olive,		*,		14,		4
		BaseballCap_Camo,		*,		16,		5
		PrisonerCap,			*,		16,		5
		BoonieHat_Orange,		*,		16,		5
		BoonieHat_Red,			*,		16,		5
		BoonieHat_Blue,			*,		16,		5
		BoonieHat_NavyBlue,		*,		16,		5
		BoonieHat_Black,		*,		17,		5
		BoonieHat_Tan,			*,		18,		6
		BoonieHat_Olive,		*,		18,		6
		BoonieHat_DPM,			*,		20,		7
		BoonieHat_Dubok,		*,		20,		7
		BoonieHat_Flecktran,	*,		20,		7
		CowboyHat_Brown,		*,		20,		7
		CowboyHat_darkBrown,	*,		20,		7
		CowboyHat_black,		*,		20,		7
		CowboyHat_green,		*,		20,		7
		PilotkaCap,				*,		25,		7
